Sample	Library_Flowcell_Lane	Raw reads	Raw data	Effective(%)	Error(%)	Q20(%)	Q30(%)	GC(%)
DNA68_2	EKDN240030183-1A_HCGNJDSXC_L3	91864826		98.68	0.03	97.60	93.25	40.53
DNA69_2	EKDN240030184-1A_HCGCHDSXC_L2	23881016	16.6	98.94	0.03	97.18	92.78	36.70
DNA69_2	EKDN240030184-1A_HCGNJDSXC_L1	86785738		98.88	0.03	96.86	91.76	36.74
DNA5_4	EKDN240030185-1A_HCGNJDSXC_L3	112869356	16.9	98.74	0.03	96.86	91.87	37.62
DNA13_3	EKDN240030186-1A_HCGNJDSXC_L3	88859792	13.3	98.58	0.03	96.92	92.03	37.45
DNA22_5	EKDN240030187-1A_HCGNJDSXC_L3	95606956	14.3	98.81	0.03	96.72	91.50	34.99
DNA25_5	EKDN240030188-1A_HCGNJDSXC_L3	113727720	17.1	99.08	0.03	97.22	92.46	39.39
DNA28_4	EKDN240030189-1A_HCGNJDSXC_L3	104239082	15.6	98.67	0.03	96.89	91.93	41.55
DNA32_3	EKDN240030190-1A_HCGNJDSXC_L3	86794140	13.0	98.86	0.03	96.86	91.87	38.16
DNA64_3	EKDN240030203-1A_HCGCHDSXC_L4	8461536	1.3	82.50	0.03	94.49	90.19	52.85
DNA62_4	EKDN240030225-1A_HCGCHDSXC_L4	19365248	2.9	89.64	0.03	95.94	91.56	40.98
DNA65_4	EKDN240030228-1A_HCGCHDSXC_L4	30437592	4.6	97.57	0.03	96.64	91.86	34.10
DNA66_4	EKDN240030229-1A_HCGCHDSXC_L4	9214948	1.4	83.37	0.03	95.63	90.97	48.75
DNA47_5	EKDN240030240-1A_HCGCHDSXC_L4	24535958	3.7	84.65	0.03	95.63	90.72	44.90
DNA41_1	EKDN240030151-1A_HCGCHDSXC_L4	3569212	0.5	95.44	0.03	96.75	92.51	43.98
DNA47_1	EKDN240030152-1A_HCGCHDSXC_L4	27200408	4.1	98.85	0.03	97.44	93.26	41.51
DNA62_1	EKDN240030155-1A_HCGCHDSXC_L4	42844362	6.4	97.66	0.03	97.00	92.58	36.78
DNA65_1	EKDN240030156-1A_HCGCHDSXC_L4	1529392	0.2	75.23	0.04	92.50	87.38	47.57
DNA66_1	EKDN240030157-1A_HCGCHDSXC_L4	6238172	0.9	92.41	0.03	96.28	92.07	41.82
DNA41_2	EKDN240030169-1A_HCGCHDSXC_L4	47043862	7.1	98.41	0.03	96.80	92.14	35.97
DNA62_2	EKDN240030177-1A_HCGCHDSXC_L3	30060598	4.5	97.64	0.03	96.24	90.99	32.77
DNA64_2	EKDN240030179-1A_HCGCHDSXC_L3	17458242	2.6	97.59	0.03	96.75	92.07	45.78
DNA65_2	EKDN240030180-1A_HCGCHDSXC_L4	22117102	3.3	96.46	0.03	96.34	91.45	38.53
DNA47_3	EKDN240030195-1A_HCGCHDSXC_L4	41841556	6.3	90.67	0.03	96.11	91.37	39.92
